Teacher ID,Grade-Section,Subject,Periods Per Week,Fixed Periods,Mode
AKH,Grade-III-A,MTH,5,,
AKH,Grade-IV-A,MTH,6,,0
AKH,Grade-IV-B,MTH,6,,0
AKH,"Grade-V-A,Grade-V-B",MTH,6,,0
APA,Grade-I-A,ENG,6,P1,
APA,Grade-I-B,ENG,6,,0
APA,"Grade-II-A,Grade-II-B",ENG,6,,0
APA,Grade-III-B,ENG,5,,
CHA,"Grade-III-A,Grade-III-B",TEL,5,,0
CHA,"Grade-V-A,Grade-V-B",HIT3,2,,0
CHA,"Grade-VI-A,Grade-VI-B",HIT3,2,,0
CHA,"Grade-VII-A,Grade-VIII-A",HIT3,2,,0
DEE,"Grade-IV-A,Grade-IV-B,Grade-V-A",SCI,5,,
DEE,Grade-V-B,SCI,5,P1,
DIV,Grade-III-A,ENG,5,,
DIV,Grade-IV-A,ENG,6,P1,
DIV,Grade-IV-B,ENG,6,,0
DIV,"Grade-V-A,Grade-V-B",ENG,6,,0
MAN,"Grade-VI-A,Grade-VI-B,Grade-VII-A,Grade-IX-A,Grade-X-A",SOC,5,,
MAN,Grade-VIII-A,SOC,5,P1,
MOU,"Grade-I-A,Grade-I-B,Grade-II-A,Grade-II-B",TEL,6,,
PRA,"Grade-I-A,Grade-I-B,Grade-II-A,Grade-II-B",CSC,4,,0
PRA,"Grade-III-A,Grade-III-B",CSC,3,,
PRA,"Grade-IV-A,Grade-IV-B",CSL,4,"P1-P2,P6-P7",0
ROJ,Grade-VI-A,MTH,5,P1,
ROJ,"Grade-VI-B,Grade-VII-A,Grade-VIII-A,Grade-IX-A,Grade-X-A",MTH,5,,
SAI,"Grade-I-A,Grade-I-B,Grade-II-B",EVS,5,,
SAI,Grade-II-A,EVS,5,P1,
SAI,"Grade-III-A,Grade-III-B",SCI,5,,
SAM,"Grade-VI-A,Grade-VII-A,Grade-VIII-A,Grade-IX-A,Grade-X-A",ENG,5,,
SAM,Grade-VI-B,ENG,5,P1,
SAR,"Grade-I-A,Grade-I-B,Grade-II-A",MTH,6,,0
SAR,Grade-II-B,MTH,6,P1,
SAR,Grade-III-B,MTH,5,,
SHA,"Grade-V-A,Grade-V-B",HIT2,5,,1
SHA,"Grade-VII-A,Grade-VIII-A",HIT2,5,,0
SHA,Grade-IX-A,HIN2,5,P1,
SMR,"Grade-V-A,Grade-V-B,Grade-VI-A,Grade-VI-B,Grade-VII-A,Grade-VIII-A",CSL,4,"P1-P2,P6-P7",0
SMR,"Grade-IX-A,Grade-X-A",CSL,2,"P1-P2,P6-P7",0
SRI,"Grade-III-A,Grade-IV-A,Grade-IV-B,Grade-V-A,Grade-V-B",SOC,5,,
SRI,Grade-III-B,SOC,5,P1,
SRP,"Grade-VI-A,Grade-VI-B,Grade-VII-A,Grade-VIII-A",SCI,5,,
SRP,"Grade-VI-A,Grade-VI-B,Grade-VII-A,Grade-VIII-A",SCII,1,,
SRP,Grade-X-A,BIO,4,,0
SRU,"Grade-VI-A,Grade-VI-B,Grade-VII-A,Grade-VIII-A",MTHI,1,,
SRU,Grade-IX-A,BIO,2,,
SRU,Grade-IX-A,SCI,4,,0
SRU,Grade-X-A,SCI,7,,0
SUK,"Grade-VI-A,Grade-VI-B",HIT2,5,,0
SUK,Grade-IX-A,TEL,5,,
SUK,Grade-X-A,HIT2,5,,0
SUR,"Grade-I-A,Grade-I-B,Grade-II-A,Grade-II-B,Grade-III-A,Grade-III-B,Grade-IV-A,Grade-IV-B,Grade-V-A,Grade-V-B,Grade-VI-A,Grade-VI-B,Grade-VII-A,Grade-VIII-A,Grade-IX-A,Grade-X-A",PT,2,,
SUS,"Grade-I-A,Grade-I-B,Grade-II-A,Grade-II-B",HIN,6,,
UMA,Grade-III-A,HIN,5,,0
UMA,Grade-III-B,HIN,5,,0
UMA,Grade-IV-A,HIT2,5,,0
UMA,"Grade-IV-A,Grade-IV-B",HIT3,2,,
UMA,Grade-IV-B,HIT2,5,,0